Designator,Footprint,Quantity,Value,Manufacturer,Partnumber,LCSC Part #
"C1, C2, C3, C4, C5, C9",C0402,6,2.2µF ±20% 6.3V X5R,Samsung Electro-Mechanics,CL05A225MQ5NSNC,C12530
"C6, C7",C0402,2,15pF 50V C0G,,,C1548
C8,C0402,1,1µF 25V X5R,,,C52923
"D1, D2, D6",LED-SMD_L3.2-W1.3-RD_GREEN-MHT151UGCT,3,3.05V,,,C559120
D3,SOD-323_L1.7-W1.3-LS2.5-BI,1,,,,C907859
D4,SOD-323_L1.8-W1.3-LS2.5-RD,1,,,,C2128
D5,LED-SMD_L3.2-W1.3-RD_MHT151WDT,1,3.15V,,,C401114
"R1, R2, R23",R0402,3,200Ω,,,C25087
"R3, R4, R13",R0402,3,3.3kΩ,,,C25890
"R5, R6, R14, R15",RES-ARRAY-SMD_0402-8P-L2.0-W1.0-BL,4,,,,C270393
"R7, R8",RES-ARRAY-SMD_8P-L2.0-W1.0-BL_CN24XXXX,2,,,,C162977
R22,R0402,1,1kΩ,,,C11702
U1,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,1,,,,C113281
U2,UDFN-8_L3.0-W2.0-P0.50-TL,1,,,,C233771
U3,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,1,LDO 3.3V 250mA   Vin max 4.75V - 5.25V Iq ,,,C236655
U4,QFN-56_L8.0-W8.0-P0.50-BL-EP,1,,,,C476253
XTAL1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,,,,C70590
